Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
λύσας	λύω	aor	actv	participle	—	sg	Ac 2:24,Eph 2:14
λύσητε	λύω	aor	actv	subjunctive	2p	pl	Mt 18:18
λύσῃς	λύω	aor	actv	subjunctive	2p	sg	Mt 16:19
λύσω	λύω	aor	actv	subjunctive	1p	sg	Jn 1:27
λυομένων	λύω	pres	pass	participle	—	pl	2 Pe 3:11
ἔλυεν	λύω	impft	actv	indicative	3p	sg	Jn 5:18
λύσατε	λύω	aor	actv	imperative	2p	pl	Mk 11:2,Jn 2:19,Jn 11:44
λελυμένον	λύω	perfect	pass	participle	—	sg	Mt 16:19
λύοντες	λύω	pres	actv	participle	—	pl	Mk 11:5
ἐλύθησαν	λύω	aor	pass	indicative	3p	pl	Re 9:15
λῦσον	λύω	aor	actv	imperative	2p	sg	Ac 7:33,Re 9:14
ἔλυσεν	λύω	aor	actv	indicative	3p	sg	Ac 22:30
λυόντων	λύω	pres	actv	participle	—	pl	Lk 19:33
λυθήσονται	λύω	futr	pass	indicative	3p	pl	2 Pe 3:12
λυθῆναι	λύω	aor	pass	infinitive	—	—	Lk 13:16,Jn 10:35,Re 20:3
λύετε	λύω	pres	actv	indicative	2p	pl	Lk 19:31,Lk 19:33
λυθῇ	λύω	aor	pass	subjunctive	3p	sg	Jn 7:23
λῦσαι	λύω	aor	actv	infinitive	—	—	Mk 1:7,Lk 3:16,Ac 13:25,Re 5:2
ἐλύετο	λύω	impft	pass	indicative	3p	sg	Ac 27:41
λύσῃ	λύω	aor	actv	subjunctive	3p	sg	Mt 5:19,1 Jn 3:8
λύσαντι	λύω	aor	actv	participle	—	sg	Re 1:5
ἐλύθη	λύω	aor	pass	indicative	3p	sg	Mk 7:35
λυθήσεται	λύω	futr	pass	indicative	3p	sg	2 Pe 3:10,Re 20:7
λύουσιν	λύω	pres	actv	indicative	3p	pl	Mk 11:4
λελυμένα	λύω	perfect	pass	participle	—	pl	Mt 18:18
λύσαντες	λύω	aor	actv	participle	—	pl	Mt 21:2,Lk 19:30
λυθείσης	λύω	aor	pass	participle	—	sg	Ac 13:43
λέλυσαι	λύω	perfect	pass	indicative	2p	sg	1 Co 7:27
λύει	λύω	pres	actv	indicative	3p	sg	Lk 13:15
