Result	Lemma	Tense	Voice	Mood	Person	Number	Part of Speech	Reference
ἀποκαλύπτεται	ἀποκαλύπτω	pres	pass	indicative	3p	sg	verb	Lk 17:30,Ro 1:17,1 Co 3:13
ἀπεκάλυψας	ἀποκαλύπτω	aor	actv	indicative	2p	sg	verb	Mt 11:25,Lk 10:21
Ἀποκαλύπτεται	ἀποκαλύπτω	pres	pass	indicative	3p	sg	verb	Ro 1:18
ἀποκαλυφθῶσιν	ἀποκαλύπτω	aor	pass	subjunctive	3p	pl	verb	Lk 2:35
ἀπεκάλυψέν	ἀποκαλύπτω	aor	actv	indicative	3p	sg	verb	Mt 16:17
ἀπεκαλύφθη	ἀποκαλύπτω	aor	pass	indicative	3p	sg	verb	Jn 12:38,Eph 3:5,1 Pe 1:12
ἀποκαλυφθῇ	ἀποκαλύπτω	aor	pass	subjunctive	3p	sg	verb	1 Co 14:30,2 Th 2:3
ἀπεκάλυψεν	ἀποκαλύπτω	aor	actv	indicative	3p	sg	verb	1 Co 2:10
ἀποκαλύψαι	ἀποκαλύπτω	aor	actv	infinitive	—	—	verb	Mt 11:27,Lk 10:22,Ga 1:16
ἀποκαλυφθήσεται	ἀποκαλύπτω	futr	pass	indicative	3p	sg	verb	Mt 10:26,Lk 12:2,2 Th 2:8
ἀποκαλύπτεσθαι	ἀποκαλύπτω	pres	pass	infinitive	—	—	verb	1 Pe 5:1
ἀποκαλύψει	ἀποκαλύπτω	futr	actv	indicative	3p	sg	verb	Php 3:15
ἀποκαλυφθῆναι	ἀποκαλύπτω	aor	pass	infinitive	—	—	verb	Ro 8:18,Ga 3:23,2 Th 2:6,1 Pe 1:5
