Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Jn 5:22,Jn 7:5,Jn 8:11,Jn 8:42,Jn 11:50,Re 9:20	οὐδὲ	οὐδέ	adverb, conjunction	negative
Mt 11:27,Mt 12:4,Mt 12:19,Mt 12:19,Mt 13:13,Mt 16:9,Mt 16:10,Mt 24:36,Lk 6:43,Lk 6:44,Lk 12:27,Lk 12:33,Lk 17:21,Lk 18:4,Jn 6:24,Jn 13:16,Jn 14:17,Jn 16:3,Ac 2:27,Ac 7:5,Ac 8:21,Ac 9:9,Ac 16:21,Ac 17:25,Ac 24:13,Ac 24:18,Ro 2:28,Ro 9:16,1 Co 2:6,Ga 1:1,Ga 3:28,Ga 3:28	οὐδὲ	οὐδέ	conjunction, particle	negative
Mt 5:15,Mt 21:27,Mt 24:36,Lk 12:26,Lk 12:27,Jn 15:4,Ga 1:12	οὐδὲ	οὐδέ	conjunction, particle, adverb	negative
Mt 6:15	οὐδὲ	οὐδέ	particle, conjunction, adverb	negative
Heb 8:4	οὐδʼ	οὐδέ	adverb	negative
Mt 24:21,Heb 13:5	οὐδʼ	οὐδέ	particle, conjunction	negative
1 Co 14:21,Heb 9:25	οὐδʼ	οὐδέ	adverb, particle	negative
Mt 6:20,Mt 6:26,Mt 6:26,Mt 6:28,Mt 7:18,Mt 9:17,Mt 10:24,Mt 22:46,Mt 23:13,Mt 25:13,Mk 8:17,Mk 13:32,Lk 8:17,Lk 11:33,Lk 12:24,Lk 12:24,Jn 1:13,Jn 1:13,Jn 1:25,Jn 1:25,1 Co 11:16,1 Co 15:50,2 Co 7:12,Ga 4:14,Php 2:16,1 Th 2:3,1 Th 2:3,1 Th 5:5,2 Th 3:8,1 Ti 2:12,1 Ti 6:16,Heb 10:8,1 Pe 2:22,2 Pe 1:8,1 Jn 3:6,Re 5:3,Re 5:3,Re 7:16,Re 7:16,Re 7:16,Re 9:4,Re 9:4,Re 20:4,Re 21:23	οὐδὲ	οὐδέ	particle, conjunction	negative
Mk 5:3,Mk 6:31	οὐδὲ	οὐδέ	conjunction, adverb	—
Mt 25:45,Mk 4:22,Mk 11:33,Mk 13:32,Mk 14:59,Mk 16:13,Lk 7:9,Lk 18:13,Lk 20:8,Lk 20:36,Lk 23:15,Lk 23:40,Ac 4:12,Ro 3:10,1 Co 3:2,1 Co 4:3,1 Co 5:1,1 Co 11:14,1 Co 15:13,1 Co 15:16,Ga 1:17,Ga 2:3,Ga 2:5,Ga 6:13,1 Ti 6:7,Heb 9:12,Heb 9:18,1 Jn 2:23,Re 12:8	οὐδὲ	οὐδέ	adverb, particle	negative
Mt 21:32	οὐδὲ	οὐδέ	adverb, particle	emphatic, negative
Mt 6:29,Mt 27:14,Lk 6:3,Lk 7:7,Jn 1:3,Jn 3:27,Ac 4:32,Ac 4:34,Ro 4:15,Ro 8:7,Ro 11:21	οὐδὲ	οὐδέ	adverb	negative
Ro 9:7	οὐδʼ	οὐδέ	conjunction, particle	negative
Lk 16:31,Jn 21:25,Ac 19:2	οὐδʼ	οὐδέ	conjunction, particle, adverb	negative
Mk 12:10	Οὐδὲ	οὐδέ	adverb, particle	negative
